team_name,seasons
AC Milan,"2011-12, 2012-13, 2013-14, 2021-22, 2022-23, 2023-24, 2024-25"
AC Sparta Praha,2024-25
AEK Athen,2018-19
AFC Ajax,"2011-12, 2012-13, 2013-14, 2014-15, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2025-26"
APOEL Nikosia,"2011-12, 2014-15, 2017-18"
AS Monaco FC,"2014-15, 2016-17, 2017-18, 2018-19, 2024-25, 2025-26"
AS Roma,"2014-15, 2015-16, 2017-18, 2018-19"
Arsenal FC,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2023-24, 2024-25, 2025-26"
Aston Villa FC,2024-25
Atalanta BC,"2019-20, 2020-21, 2021-22, 2024-25, 2025-26"
Athletic Club,"2014-15, 2025-26"
Austria Wien,2013-14
BATE Borisov,"2011-12, 2012-13, 2014-15, 2015-16"
BSC Young Boys,"2018-19, 2021-22, 2023-24, 2024-25"
Bayer 04 Leverkusen,"2011-12, 2013-14, 2014-15, 2015-16, 2016-17, 2019-20, 2022-23, 2024-25, 2025-26"
Borussia Dortmund,"2011-12, 2012-13, 2013-14, 2014-15, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
Borussia Mönchengladbach,"2015-16, 2016-17, 2020-21"
CFR Cluj,2012-13
CSKA Moskva,"2011-12, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19"
Celtic FC,"2012-13, 2013-14, 2016-17, 2017-18, 2022-23, 2023-24, 2024-25"
Chelsea FC,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2017-18, 2019-20, 2020-21, 2021-22, 2022-23, 2025-26"
Club Atlético de Madrid,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
Club Brugge KV,"2016-17, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2024-25, 2025-26"
Dinamo Kiev,"2012-13, 2015-16, 2016-17, 2020-21, 2021-22"
Eintracht Frankfurt,"2022-23, 2025-26"
FC Barcelona,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
FC Bayern München,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
FC Internazionale Milano,"2011-12, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
FC København,"2013-14, 2016-17, 2022-23, 2023-24, 2025-26"
FC Midtjylland,"2012-13, 2020-21"
FC Nordsjælland,2023-24
FC Porto,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2020-21, 2021-22, 2022-23, 2023-24"
FC Red Bull Salzburg,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25"
FC Sheriff,2021-22
FC Union Berlin,2023-24
FK Astana,2015-16
FK Crvena Zvezda,"2018-19, 2019-20, 2023-24, 2024-25"
FK Kairat,2025-26
FK Krasnodar,2020-21
FK Rostov,2016-17
FK Shakhtar Donetsk,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25"
Ferencvárosi TC,2020-21
Feyenoord Rotterdam,"2017-18, 2023-24, 2024-25"
GNK Dinamo Zagreb,"2011-12, 2012-13, 2015-16, 2016-17, 2019-20, 2022-23, 2024-25"
Galatasaray SK,"2012-13, 2013-14, 2014-15, 2015-16, 2018-19, 2019-20, 2023-24, 2025-26"
Girona FC,2024-25
Glimt,2025-26
Hoffenheim,2018-19
Juventus FC,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2024-25, 2025-26"
KAA Gent,2015-16
KRC Genk,"2011-12, 2019-20"
Lazio Roma,2020-21
Legia Warszawa,2016-17
Leicester City,2016-17
Lille OSC,"2011-12, 2012-13, 2019-20, 2021-22, 2024-25"
Liverpool FC,"2014-15, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2024-25, 2025-26"
Lokomotiv Moskva,"2018-19, 2019-20, 2020-21"
Maccabi Haifa,2022-23
Maccabi Tel Aviv,2015-16
Manchester City FC,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
Manchester United FC,"2011-12, 2012-13, 2013-14, 2015-16, 2017-18, 2018-19, 2020-21, 2021-22, 2023-24"
Montpellier HSC,2012-13
NK Maribor,"2014-15, 2017-18"
Newcastle United FC,"2023-24, 2025-26"
Olympiakos Piraeus,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2017-18, 2019-20, 2020-21"
Olympique Lyonnais,"2011-12, 2015-16, 2016-17, 2018-19, 2019-20"
Olympique de Marseille,"2011-12, 2013-14, 2020-21, 2022-23, 2025-26"
PAE Olympiakos SFP,2025-26
PFC Ludogorets Razgrad,"2014-15, 2016-17"
Paphos FC,2025-26
Paris Saint-Germain FC,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25, 2025-26"
Qarabağ Ağdam FK,2025-26
RB Leipzig,"2017-18, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25"
RSC Anderlecht,"2012-13, 2013-14, 2014-15, 2017-18"
Racing Club de Lens,2023-24
Rangers FC,2022-23
