id,date,matchday,home_team,away_team,home_score,away_score,status
1771528444421,2023-09-19T18:45:00Z,1,AC Milan,Newcastle United FC,0.0,0.0,FINISHED
1771528444422,2023-09-19T18:45:00Z,1,BSC Young Boys,RB Leipzig,1.0,3.0,FINISHED
1771528444424,2023-09-19T21:00:00Z,1,SS Lazio,Club Atlético de Madrid,1.0,1.0,FINISHED
1771528444425,2023-09-19T21:00:00Z,1,Feyenoord Rotterdam,Celtic FC,2.0,0.0,FINISHED
1771528444426,2023-09-19T21:00:00Z,1,Paris Saint-Germain FC,Borussia Dortmund,2.0,0.0,FINISHED
1771528444427,2023-09-19T21:00:00Z,1,Manchester City FC,FK Crvena Zvezda,3.0,1.0,FINISHED
1771528444428,2023-09-19T21:00:00Z,1,FC Barcelona,Royal Antwerp FC,5.0,0.0,FINISHED
1771528444430,2023-09-19T21:00:00Z,1,FK Shakhtar Donetsk,FC Porto,1.0,3.0,FINISHED
1771528444431,2023-09-20T18:45:00Z,1,Real Madrid CF,1. FC Union Berlin,1.0,0.0,FINISHED
1771528444432,2023-09-20T18:45:00Z,1,Galatasaray SK,FC København,2.0,2.0,FINISHED
1771528444433,2023-09-20T21:00:00Z,1,Sevilla FC,Racing Club de Lens,1.0,1.0,FINISHED
1771528444435,2023-09-20T21:00:00Z,1,Sporting Clube de Braga,SSC Napoli,1.0,2.0,FINISHED
1771528444436,2023-09-20T21:00:00Z,1,Real Sociedad de Fútbol,FC Internazionale Milano,1.0,1.0,FINISHED
1771528444437,2023-09-20T21:00:00Z,1,SL Benfica,FC Red Bull Salzburg,0.0,2.0,FINISHED
1771528444439,2023-09-20T21:00:00Z,1,FC Bayern München,Manchester United FC,4.0,3.0,FINISHED
1771528444440,2023-09-20T21:00:00Z,1,Arsenal FC,PSV,4.0,0.0,FINISHED
1771528444442,2023-10-03T18:45:00Z,2,1. FC Union Berlin,Sporting Clube de Braga,2.0,3.0,FINISHED
1771528444443,2023-10-03T18:45:00Z,2,FC Red Bull Salzburg,Real Sociedad de Fútbol,0.0,2.0,FINISHED
1771528444444,2023-10-03T21:00:00Z,2,SSC Napoli,Real Madrid CF,2.0,3.0,FINISHED
1771528444446,2023-10-03T21:00:00Z,2,FC Internazionale Milano,SL Benfica,1.0,0.0,FINISHED
1771528444447,2023-10-03T21:00:00Z,2,FC København,FC Bayern München,1.0,2.0,FINISHED
1771528444448,2023-10-03T21:00:00Z,2,Manchester United FC,Galatasaray SK,2.0,3.0,FINISHED
1771528444449,2023-10-03T21:00:00Z,2,Racing Club de Lens,Arsenal FC,2.0,1.0,FINISHED
1771528444450,2023-10-03T21:00:00Z,2,PSV,Sevilla FC,2.0,2.0,FINISHED
1771528444452,2023-10-04T18:45:00Z,2,Club Atlético de Madrid,Feyenoord Rotterdam,3.0,2.0,FINISHED
1771528444453,2023-10-04T18:45:00Z,2,Royal Antwerp FC,FK Shakhtar Donetsk,2.0,3.0,FINISHED
1771528444454,2023-10-04T21:00:00Z,2,Celtic FC,SS Lazio,1.0,2.0,FINISHED
1771528444455,2023-10-04T21:00:00Z,2,Borussia Dortmund,AC Milan,0.0,0.0,FINISHED
1771528444457,2023-10-04T21:00:00Z,2,Newcastle United FC,Paris Saint-Germain FC,4.0,1.0,FINISHED
1771528444458,2023-10-04T21:00:00Z,2,FK Crvena Zvezda,BSC Young Boys,2.0,2.0,FINISHED
1771528444459,2023-10-04T21:00:00Z,2,RB Leipzig,Manchester City FC,1.0,3.0,FINISHED
1771528444460,2023-10-04T21:00:00Z,2,FC Porto,FC Barcelona,0.0,1.0,FINISHED
1771528444461,2023-10-24T18:45:00Z,3,FC Internazionale Milano,FC Red Bull Salzburg,2.0,1.0,FINISHED
1771528444463,2023-10-24T18:45:00Z,3,Galatasaray SK,FC Bayern München,1.0,3.0,FINISHED
1771528444464,2023-10-24T21:00:00Z,3,1. FC Union Berlin,SSC Napoli,0.0,1.0,FINISHED
1771528444465,2023-10-24T21:00:00Z,3,Sporting Clube de Braga,Real Madrid CF,1.0,2.0,FINISHED
1771528444466,2023-10-24T21:00:00Z,3,SL Benfica,Real Sociedad de Fútbol,0.0,1.0,FINISHED
1771528444468,2023-10-24T21:00:00Z,3,Manchester United FC,FC København,1.0,0.0,FINISHED
1771528444469,2023-10-24T21:00:00Z,3,Sevilla FC,Arsenal FC,1.0,2.0,FINISHED
1771528444470,2023-10-24T21:00:00Z,3,Racing Club de Lens,PSV,1.0,1.0,FINISHED
1771528444471,2023-10-25T18:45:00Z,3,Feyenoord Rotterdam,SS Lazio,3.0,1.0,FINISHED
1771528444472,2023-10-25T18:45:00Z,3,FC Barcelona,FK Shakhtar Donetsk,2.0,1.0,FINISHED
1771528444474,2023-10-25T21:00:00Z,3,Celtic FC,Club Atlético de Madrid,2.0,2.0,FINISHED
1771528444475,2023-10-25T21:00:00Z,3,Paris Saint-Germain FC,AC Milan,3.0,0.0,FINISHED
1771528444476,2023-10-25T21:00:00Z,3,Newcastle United FC,Borussia Dortmund,0.0,1.0,FINISHED
1771528444477,2023-10-25T21:00:00Z,3,BSC Young Boys,Manchester City FC,1.0,3.0,FINISHED
1771528444479,2023-10-25T21:00:00Z,3,RB Leipzig,FK Crvena Zvezda,3.0,1.0,FINISHED
1771528444480,2023-10-25T21:00:00Z,3,Royal Antwerp FC,FC Porto,1.0,4.0,FINISHED
1771528444481,2023-11-07T18:45:00Z,4,Borussia Dortmund,Newcastle United FC,2.0,0.0,FINISHED
1771528444482,2023-11-07T18:45:00Z,4,FK Shakhtar Donetsk,FC Barcelona,1.0,0.0,FINISHED
1771528444484,2023-11-07T21:00:00Z,4,Club Atlético de Madrid,Celtic FC,6.0,0.0,FINISHED
1771528444485,2023-11-07T21:00:00Z,4,SS Lazio,Feyenoord Rotterdam,1.0,0.0,FINISHED
1771528444486,2023-11-07T21:00:00Z,4,AC Milan,Paris Saint-Germain FC,2.0,1.0,FINISHED
1771528444487,2023-11-07T21:00:00Z,4,Manchester City FC,BSC Young Boys,3.0,0.0,FINISHED
1771528444489,2023-11-07T21:00:00Z,4,FK Crvena Zvezda,RB Leipzig,1.0,2.0,FINISHED
1771528444490,2023-11-07T21:00:00Z,4,FC Porto,Royal Antwerp FC,2.0,0.0,FINISHED
1771528444491,2023-11-08T18:45:00Z,4,SSC Napoli,1. FC Union Berlin,1.0,1.0,FINISHED
1771528444492,2023-11-08T18:45:00Z,4,Real Sociedad de Fútbol,SL Benfica,3.0,1.0,FINISHED
1771528444493,2023-11-08T21:00:00Z,4,Real Madrid CF,Sporting Clube de Braga,3.0,0.0,FINISHED
1771528444495,2023-11-08T21:00:00Z,4,FC Red Bull Salzburg,FC Internazionale Milano,0.0,1.0,FINISHED
