id,date,matchday,home_team,away_team,home_score,away_score,status
1771528444161,2024-07-10T20:00:00Z,1,Velež Mostar,Inter Club d'Escaldes,1.0,1.0,FINISHED
1771528444162,2024-07-10T21:00:00Z,1,FK Auda,B36 Tórshavn,2.0,0.0,FINISHED
1771528444163,2024-07-11T17:00:00Z,1,FA Šiauliai,FCI Levadia,0.0,2.0,FINISHED
1771528444165,2024-07-11T17:00:00Z,1,KF Malisheva,FK Budućnost Podgorica,1.0,0.0,FINISHED
1771528444166,2024-07-11T17:00:00Z,1,FK Aktobe,FK Sarajevo,0.0,1.0,FINISHED
1771528444167,2024-07-11T17:00:00Z,1,FK Liepāja,Víkingur,1.0,1.0,FINISHED
1771528444168,2024-07-11T18:00:00Z,1,FCB Magpies,Derry City,2.0,0.0,FINISHED
1771528444170,2024-07-11T18:00:00Z,1,NK Bravo,Connah's Quay Nomads,0.0,1.0,FINISHED
1771528444171,2024-07-11T18:00:00Z,1,FC Noah,KF Shkëndija 79,2.0,0.0,FINISHED
1771528444172,2024-07-11T18:30:00Z,1,JK Tallinna Kalev,FC Urartu,1.0,2.0,FINISHED
1771528444173,2024-07-11T18:30:00Z,1,Atlétic Escaldes,F91 Dudelange,0.0,1.0,FINISHED
1771528444175,2024-07-11T19:00:00Z,1,Floriana FC,SP Tre Penne,3.0,1.0,FINISHED
1771528444176,2024-07-11T19:00:00Z,1,Torpedo-BelAZ Zhodino,FC Milsami,2.0,4.0,FINISHED
1771528444177,2024-07-11T19:00:00Z,1,Torpedo Kutaisi,KF Tiranë,1.0,1.0,FINISHED
1771528444178,2024-07-11T19:00:00Z,1,UNA Strassen,Kuopion PS,0.0,0.0,FINISHED
1771528444180,2024-07-11T19:00:00Z,1,Vaasan PS,FK Žalgiris,1.0,2.0,FINISHED
1771528444181,2024-07-11T19:30:00Z,1,Caernarfon Town,Crusaders FC,2.0,0.0,FINISHED
1771528444182,2024-07-11T20:00:00Z,1,Bala Town,Paide Linnameeskond,1.0,2.0,FINISHED
1771528444183,2024-07-11T20:00:00Z,1,FK Partizani,Marsaxlokk FC,1.0,1.0,FINISHED
1771528444184,2024-07-11T20:30:00Z,1,GFK Tikvesh,Breiðablik,3.0,2.0,FINISHED
1771528444186,2024-07-11T20:45:00Z,1,SP La Fiorita,FK Isloch Minsk,0.0,1.0,FINISHED
1771528444187,2024-07-11T20:45:00Z,1,Shelbourne FC,St. Joseph's FC,2.0,1.0,FINISHED
1771528444188,2024-07-11T20:45:00Z,1,FK Mornar,Dinamo Tbilisi,2.0,1.0,FINISHED
1771528444189,2024-07-11T21:00:00Z,1,Valur Reykjavík,FK Vllaznia,2.0,2.0,FINISHED
1771528444191,2024-07-11T21:00:00Z,1,UMF Stjarnan,Linfield FC,2.0,0.0,FINISHED
1771528444192,2024-07-17T19:00:00Z,1,B36 Tórshavn,FK Auda,0.0,1.0,FINISHED
1771528444193,2024-07-17T20:45:00Z,1,Crusaders FC,Caernarfon Town,3.0,1.0,FINISHED
1771528444194,2024-07-18T17:00:00Z,1,FC Urartu,JK Tallinna Kalev,2.0,0.0,FINISHED
1771528444195,2024-07-18T17:00:00Z,1,Kuopion PS,UNA Strassen,5.0,0.0,FINISHED
1771528444197,2024-07-18T18:00:00Z,1,Inter Club d'Escaldes,Velež Mostar,5.0,1.0,FINISHED
1771528444198,2024-07-18T18:00:00Z,1,FC Milsami,Torpedo-BelAZ Zhodino,0.0,0.0,FINISHED
1771528444199,2024-07-18T18:00:00Z,1,FCI Levadia,FA Šiauliai,0.0,0.0,FINISHED
1771528444200,2024-07-18T18:00:00Z,1,St. Joseph's FC,Shelbourne FC,1.0,1.0,FINISHED
1771528444202,2024-07-18T18:00:00Z,1,FK Žalgiris,Vaasan PS,1.0,0.0,FINISHED
1771528444203,2024-07-18T18:30:00Z,1,Paide Linnameeskond,Bala Town,1.0,1.0,FINISHED
1771528444204,2024-07-18T19:00:00Z,1,F91 Dudelange,Atlétic Escaldes,2.0,0.0,FINISHED
1771528444205,2024-07-18T19:00:00Z,1,Marsaxlokk FC,FK Partizani,1.0,2.0,FINISHED
1771528444207,2024-07-18T19:00:00Z,1,Dinamo Tbilisi,FK Mornar,1.0,1.0,FINISHED
1771528444208,2024-07-18T19:30:00Z,1,FK Isloch Minsk,SP La Fiorita,0.0,1.0,FINISHED
1771528444209,2024-07-18T19:30:00Z,1,Connah's Quay Nomads,NK Bravo,0.0,2.0,FINISHED
1771528444210,2024-07-18T20:00:00Z,1,KF Tiranë,Torpedo Kutaisi,0.0,1.0,FINISHED
1771528444211,2024-07-18T20:00:00Z,1,Víkingur,FK Liepāja,2.0,0.0,FINISHED
1771528444213,2024-07-18T20:00:00Z,1,KF Shkëndija 79,FC Noah,1.0,2.0,FINISHED
1771528444214,2024-07-18T20:30:00Z,1,FK Vllaznia,Valur Reykjavík,0.0,4.0,FINISHED
1771528444215,2024-07-18T20:45:00Z,1,SP Tre Penne,Floriana FC,1.0,1.0,FINISHED
1771528444216,2024-07-18T20:45:00Z,1,Derry City,FCB Magpies,2.0,1.0,FINISHED
1771528444218,2024-07-18T20:45:00Z,1,Linfield FC,UMF Stjarnan,3.0,2.0,FINISHED
