id,team_name,season
1,ACF Fiorentina,2023-24
2,AFC Ajax,2023-24
3,AZ Alkmaar,2023-24
4,Aberdeen FC,2023-24
5,Aston Villa,2023-24
6,Beşiktaş,2023-24
7,Breiðablik,2023-24
8,Club Brugge KV,2023-24
9,Eintracht Frankfurt,2023-24
10,FC Lugano,2023-24
11,FC Nordsjælland,2023-24
12,FK Astana,2023-24
13,FK Bodø/Glimt,2023-24
14,FK Čukarički,2023-24
15,Fenerbahçe,2023-24
16,Ferencvárosi TC,2023-24
17,GNK Dinamo Zagreb,2023-24
18,HJK Helsinki,2023-24
19,KAA Gent,2023-24
20,KF Ballkani,2023-24
21,KRC Genk,2023-24
22,KÍ Klaksvík,2023-24
23,Legia Warszawa,2023-24
24,Lille OSC,2023-24
25,Maccabi Haifa,2023-24
26,Maccabi Tel Aviv,2023-24
27,Molde FK,2023-24
28,Olimpija Ljubljana,2023-24
29,Olympiakos Piraeus,2023-24
30,PAOK Saloniki,2023-24
31,PFC Ludogorets Razgrad,2023-24
32,Real Betis,2023-24
33,Servette FC,2023-24
34,Slovan Bratislava,2023-24
35,Spartak Trnava,2023-24
36,Sturm Graz,2023-24
37,Union Saint-Gilloise,2023-24
38,Viktoria Plzeň,2023-24
39,Zorya Lugansk,2023-24
40,Zrinjski Mostar,2023-24
