id,date,matchday,home_team,away_team,home_score,away_score,status
1771528444510,2022-09-08T18:45:00Z,1,FC Zürich,Arsenal FC,1.0,2.0,FINISHED
1771528444512,2022-09-08T18:45:00Z,1,PSV,FK Bodø/Glimt,1.0,1.0,FINISHED
1771528444525,2022-09-08T18:45:00Z,1,Fenerbahçe,Dinamo Kiev,2.0,1.0,FINISHED
1771528444526,2022-09-08T18:45:00Z,1,AEK Larnaca,Stade Rennais,1.0,2.0,FINISHED
1771528444540,2022-09-08T18:45:00Z,1,PFC Ludogorets Razgrad,AS Roma,2.0,1.0,FINISHED
1771528444541,2022-09-08T18:45:00Z,1,HJK Helsinki,Real Betis,0.0,2.0,FINISHED
1771528444554,2022-09-08T18:45:00Z,1,Malmö FF,Sporting Clube de Braga,0.0,2.0,FINISHED
1771528444556,2022-09-08T18:45:00Z,1,1. FC Union Berlin,Union Saint-Gilloise,0.0,1.0,FINISHED
1771528444569,2022-09-08T21:00:00Z,1,Manchester United FC,Real Sociedad,0.0,1.0,FINISHED
1771528444570,2022-09-08T21:00:00Z,1,Omonia Nikosia,FC Sheriff,0.0,3.0,FINISHED
1771528444584,2022-09-08T21:00:00Z,1,Lazio Roma,Feyenoord Rotterdam,4.0,2.0,FINISHED
1771528444585,2022-09-08T21:00:00Z,1,SK Sturm Graz,FC Midtjylland,1.0,0.0,FINISHED
1771528444599,2022-09-08T21:00:00Z,1,FC Nantes,Olympiakos Piraeus,2.0,1.0,FINISHED
1771528444600,2022-09-08T21:00:00Z,1,SC Freiburg,Qarabağ FK,2.0,1.0,FINISHED
1771528444613,2022-09-08T21:00:00Z,1,FK Crvena Zvezda,AS Monaco FC,0.0,1.0,FINISHED
1771528444615,2022-09-08T21:00:00Z,1,Ferencvárosi TC,Trabzonspor,3.0,2.0,FINISHED
1771528444572,2022-09-15T18:45:00Z,1,Real Sociedad,Omonia Nikosia,2.0,1.0,FINISHED
1771528444573,2022-09-15T18:45:00Z,1,FC Sheriff,Manchester United FC,0.0,2.0,FINISHED
1771528444586,2022-09-15T18:45:00Z,1,FC Midtjylland,Lazio Roma,5.0,1.0,FINISHED
1771528444588,2022-09-15T18:45:00Z,1,Feyenoord Rotterdam,SK Sturm Graz,6.0,0.0,FINISHED
1771528444601,2022-09-15T18:45:00Z,1,Olympiakos Piraeus,SC Freiburg,0.0,3.0,FINISHED
1771528444602,2022-09-15T18:45:00Z,1,Qarabağ FK,FC Nantes,3.0,0.0,FINISHED
1771528444616,2022-09-15T18:45:00Z,1,Trabzonspor,FK Crvena Zvezda,2.0,1.0,FINISHED
1771528444617,2022-09-15T18:45:00Z,1,AS Monaco FC,Ferencvárosi TC,0.0,1.0,FINISHED
1771528444513,2022-09-15T21:00:00Z,1,FK Bodø/Glimt,FC Zürich,2.0,1.0,FINISHED
1771528444527,2022-09-15T21:00:00Z,1,Dinamo Kiev,AEK Larnaca,0.0,1.0,FINISHED
1771528444529,2022-09-15T21:00:00Z,1,Stade Rennais,Fenerbahçe,2.0,2.0,FINISHED
1771528444542,2022-09-15T21:00:00Z,1,AS Roma,HJK Helsinki,3.0,0.0,FINISHED
1771528444543,2022-09-15T21:00:00Z,1,Real Betis,PFC Ludogorets Razgrad,3.0,2.0,FINISHED
1771528444557,2022-09-15T21:00:00Z,1,Sporting Clube de Braga,1. FC Union Berlin,1.0,0.0,FINISHED
1771528444558,2022-09-15T21:00:00Z,1,Union Saint-Gilloise,Malmö FF,3.0,2.0,FINISHED
1771528444514,2022-10-06T18:45:00Z,1,FC Zürich,PSV,1.0,5.0,FINISHED
1771528444545,2022-10-06T18:45:00Z,1,HJK Helsinki,PFC Ludogorets Razgrad,1.0,1.0,FINISHED
1771528444559,2022-10-06T18:45:00Z,1,Malmö FF,1. FC Union Berlin,0.0,1.0,FINISHED
1771528444574,2022-10-06T18:45:00Z,1,FC Sheriff,Real Sociedad,0.0,2.0,FINISHED
1771528444575,2022-10-06T18:45:00Z,1,Omonia Nikosia,Manchester United FC,2.0,3.0,FINISHED
1771528444589,2022-10-06T18:45:00Z,1,SK Sturm Graz,Lazio Roma,0.0,0.0,FINISHED
1771528444618,2022-10-06T18:45:00Z,1,FK Crvena Zvezda,Ferencvárosi TC,4.0,1.0,FINISHED
1771528444620,2022-10-06T18:45:00Z,1,AS Monaco FC,Trabzonspor,3.0,1.0,FINISHED
1771528444515,2022-10-06T21:00:00Z,1,Arsenal FC,FK Bodø/Glimt,3.0,0.0,FINISHED
1771528444530,2022-10-06T21:00:00Z,1,Stade Rennais,Dinamo Kiev,2.0,1.0,FINISHED
1771528444531,2022-10-06T21:00:00Z,1,Fenerbahçe,AEK Larnaca,2.0,0.0,FINISHED
1771528444546,2022-10-06T21:00:00Z,1,AS Roma,Real Betis,1.0,2.0,FINISHED
1771528444561,2022-10-06T21:00:00Z,1,Sporting Clube de Braga,Union Saint-Gilloise,1.0,2.0,FINISHED
1771528444590,2022-10-06T21:00:00Z,1,FC Midtjylland,Feyenoord Rotterdam,2.0,2.0,FINISHED
1771528444604,2022-10-06T21:00:00Z,1,Olympiakos Piraeus,Qarabağ FK,0.0,3.0,FINISHED
1771528444605,2022-10-06T21:00:00Z,1,SC Freiburg,FC Nantes,2.0,0.0,FINISHED
1771528444516,2022-10-13T18:45:00Z,1,FK Bodø/Glimt,Arsenal FC,0.0,1.0,FINISHED
1771528444532,2022-10-13T18:45:00Z,1,Dinamo Kiev,Stade Rennais,0.0,1.0,FINISHED
1771528444534,2022-10-13T18:45:00Z,1,AEK Larnaca,Fenerbahçe,1.0,2.0,FINISHED
1771528444547,2022-10-13T18:45:00Z,1,Real Betis,AS Roma,1.0,1.0,FINISHED
1771528444562,2022-10-13T18:45:00Z,1,Union Saint-Gilloise,Sporting Clube de Braga,3.0,3.0,FINISHED
1771528444591,2022-10-13T18:45:00Z,1,Feyenoord Rotterdam,FC Midtjylland,2.0,2.0,FINISHED
1771528444606,2022-10-13T18:45:00Z,1,Qarabağ FK,Olympiakos Piraeus,0.0,0.0,FINISHED
1771528444607,2022-10-13T18:45:00Z,1,FC Nantes,SC Freiburg,0.0,4.0,FINISHED
1771528444518,2022-10-13T21:00:00Z,1,PSV,FC Zürich,5.0,0.0,FINISHED
1771528444548,2022-10-13T21:00:00Z,1,PFC Ludogorets Razgrad,HJK Helsinki,2.0,0.0,FINISHED
1771528444563,2022-10-13T21:00:00Z,1,1. FC Union Berlin,Malmö FF,1.0,0.0,FINISHED
1771528444577,2022-10-13T21:00:00Z,1,Manchester United FC,Omonia Nikosia,1.0,0.0,FINISHED
1771528444578,2022-10-13T21:00:00Z,1,Real Sociedad,FC Sheriff,3.0,0.0,FINISHED
