id,team_name,season
1,1899 Hoffenheim,2024-25
2,AFC Ajax,2024-25
3,APOEL Nikosia,2024-25
4,AS Roma,2024-25
5,AZ Alkmaar,2024-25
6,Athletic Club,2024-25
7,Beşiktaş,2024-25
8,Borac Banja Luka,2024-25
9,Botev Plovdiv,2024-25
10,CS Petrocub,2024-25
11,Cercle Brugge,2024-25
12,Dinamo Kiev,2024-25
13,Dinamo Minsk,2024-25
14,Eintracht Frankfurt,2024-25
15,FC Corvinul Hunedoara,2024-25
16,FC Lugano,2024-25
17,FC Midtjylland,2024-25
18,FC Porto,2024-25
19,FC Sheriff,2024-25
20,FC Twente,2024-25
21,FCSB,2024-25
22,FK Bodø/Glimt,2024-25
23,FK Panevėžys,2024-25
24,FK RFS,2024-25
25,Fenerbahçe,2024-25
26,Ferencvárosi TC,2024-25
27,Galatasaray SK,2024-25
28,HNK Rijeka,2024-25
29,Heart of Midlothian,2024-25
30,IF Elfsborg,2024-25
31,Jagiellonia Białystok,2024-25
32,KF Llapi,2024-25
33,Kilmarnock FC,2024-25
34,Kryvbas Kryvyi Rih,2024-25
35,KÍ Klaksvík,2024-25
36,LASK,2024-25
37,Lazio Roma,2024-25
38,Lincoln Red Imps,2024-25
39,MFK Ružomberok,2024-25
40,Maccabi Petach-Tikva,2024-25
41,Maccabi Tel Aviv,2024-25
42,Malmö FF,2024-25
43,Manchester United FC,2024-25
44,Molde FK,2024-25
45,NK Celje,2024-25
46,NK Maribor,2024-25
47,OGC Nice,2024-25
48,Olympiakos Piraeus,2024-25
49,Olympique Lyonnais,2024-25
50,PAOK Saloniki,2024-25
51,PFC Ludogorets Razgrad,2024-25
52,Paksi SE,2024-25
53,Panathinaikos,2024-25
54,Paphos FC,2024-25
55,Partizan,2024-25
56,Qarabağ FK,2024-25
57,RSC Anderlecht,2024-25
58,Rangers FC,2024-25
59,Rapid Wien,2024-25
60,Real Sociedad,2024-25
61,SK Slavia Praha,2024-25
62,Servette FC,2024-25
63,Shamrock Rovers,2024-25
64,Silkeborg IF,2024-25
65,Sporting Clube de Braga,2024-25
66,TSC Bačka Topola,2024-25
67,The New Saints,2024-25
68,Tobyl Kostanay,2024-25
69,Tottenham Hotspur FC,2024-25
70,Trabzonspor,2024-25
71,UE Santa Coloma,2024-25
72,Union Saint-Gilloise,2024-25
73,Viktoria Plzeň,2024-25
74,Vojvodina,2024-25
75,Wisła Kraków,2024-25
76,Zira FK,2024-25
