team_name,season,competitions
1. FC Heidenheim 1846,2024-25,conference
1. FSV Mainz 05,2025-26,conference
1899 Hoffenheim,2024-25,europa_league
AC Milan,2024-25,champions
AC Sparta Praha,2024-25,champions
AC Sparta Praha,2025-26,conference
ACF Fiorentina,2024-25,conference
ACF Fiorentina,2025-26,conference
AEK Athen,2024-25,conference
AEK Athen,2025-26,conference
AEK Larnaca,2024-25,conference
AEK Larnaca,2025-26,europa_league
AFC Ajax,2024-25,europa_league
AFC Ajax,2025-26,champions
AIK Solna,2025-26,conference
APOEL Nikosia,2024-25,"champions, conference, europa_league"
AS Monaco FC,2024-25,champions
AS Monaco FC,2025-26,champions
AS Roma,2024-25,europa_league
AZ Alkmaar,2024-25,europa_league
AZ Alkmaar,2025-26,conference
Aberdeen FC,2025-26,europa_league
Araz-Naxçıvan PFK,2025-26,conference
Arda Kardzhali,2025-26,conference
Aris Limassol,2025-26,conference
Aris Saloniki,2025-26,conference
Arsenal FC,2024-25,champions
Arsenal FC,2025-26,champions
Aston Villa FC,2024-25,champions
Atalanta BC,2024-25,champions
Atalanta BC,2025-26,champions
Athletic Club,2024-25,europa_league
Athletic Club,2025-26,champions
Atlétic Escaldes,2024-25,conference
Atlétic Escaldes,2025-26,conference
Austria Wien,2024-25,conference
Austria Wien,2025-26,conference
B36 Tórshavn,2024-25,conference
BFC Daugavpils,2025-26,conference
BK Häcken,2024-25,conference
BK Häcken,2025-26,"conference, europa_league"
BSC Young Boys,2024-25,champions
BSC Young Boys,2025-26,europa_league
Bala Town,2024-25,conference
Banga Gargždai,2025-26,conference
Baník Ostrava,2024-25,conference
Baník Ostrava,2025-26,"conference, europa_league"
Bayer 04 Leverkusen,2024-25,champions
Bayer 04 Leverkusen,2025-26,champions
Beitar Jerusalem,2025-26,conference
Beşiktaş,2024-25,europa_league
Beşiktaş,2025-26,"conference, europa_league"
Birkirkara FC,2025-26,conference
Bologna FC 1909,2024-25,champions
Borac Banja Luka,2024-25,"champions, conference, europa_league"
Borac Banja Luka,2025-26,conference
Borussia Dortmund,2024-25,champions
Borussia Dortmund,2025-26,champions
