home_last5_w,home_last5_d,home_last5_l,home_last5_pts,away_last5_w,away_last5_d,away_last5_l,away_last5_pts,home_last5_all_pts,away_last5_all_pts,home_goals_for,home_goals_against,away_goals_for,away_goals_against,h2h_home_w,h2h_away_w,h2h_draw,home_days_rest,away_days_rest,home_ranking_pts,away_ranking_pts,ranking_diff,home_uefa_coef,away_uefa_coef,uefa_coef_diff,is_knockout,matchday,result,home_team,away_team,match_date,home_score,away_score
1,0,0,3,1,0,0,3,4,3,1.0,0.0,2.0,0.0,0,0,0,20,21,0,0,0,79.0,54.0,25.0,0,3,1,FC Internazionale Milano,FC Red Bull Salzburg,2023-10-24 18:45:00+00:00,2.0,1.0
0,1,0,1,1,0,0,3,4,6,2.0,2.0,2.0,1.0,0,0,0,20,20,0,0,0,42.0,107.0,-65.0,0,3,2,Galatasaray SK,FC Bayern München,2023-10-24 18:45:00+00:00,1.0,3.0
0,1,0,1,0,0,1,0,2,3,1.0,1.0,1.0,2.0,0,0,0,21,21,0,0,0,56.0,97.0,-41.0,0,3,2,Sevilla FC,Arsenal FC,2023-10-24 21:00:00+00:00,1.0,2.0
1,0,0,3,0,0,1,0,4,1,2.0,1.0,0.0,4.0,0,0,0,21,21,0,0,0,50.0,58.0,-8.0,0,3,0,Racing Club de Lens,PSV,2023-10-24 21:00:00+00:00,1.0,1.0
1,0,0,3,1,0,0,3,6,3,5.0,0.0,3.0,2.0,0,0,0,20,21,0,0,0,98.0,50.0,48.0,0,3,1,FC Barcelona,FK Shakhtar Donetsk,2023-10-25 18:45:00+00:00,2.0,1.0
1,0,0,3,1,0,0,3,3,4,2.0,0.0,2.0,1.0,0,0,0,21,20,0,0,0,50.0,54.0,-4.0,0,3,1,Feyenoord Rotterdam,SS Lazio,2023-10-25 18:45:00+00:00,3.0,1.0
1,0,0,3,0,1,0,1,3,2,2.0,0.0,0.0,0.0,0,0,0,21,21,0,0,0,92.0,72.0,20.0,0,3,1,Paris Saint-Germain FC,AC Milan,2023-10-25 21:00:00+00:00,3.0,0.0
1,0,0,3,0,0,1,0,4,1,4.0,1.0,0.0,2.0,0,0,0,21,21,0,0,0,58.0,78.0,-20.0,0,3,2,Newcastle United FC,Borussia Dortmund,2023-10-25 21:00:00+00:00,0.0,1.0
0,1,0,1,0,1,0,1,4,4,0.0,0.0,0.0,0.0,1,0,0,12,12,0,0,0,78.0,58.0,20.0,0,4,1,Borussia Dortmund,Newcastle United FC,2023-11-07 18:45:00+00:00,2.0,0.0
0,1,0,1,1,0,0,3,1,6,2.0,2.0,3.0,1.0,0,1,0,13,13,0,0,0,38.0,50.0,-12.0,0,4,2,FK Crvena Zvezda,RB Leipzig,2023-11-07 21:00:00+00:00,1.0,2.0
1,0,0,3,0,1,0,1,9,1,3.0,1.0,2.0,2.0,1,0,0,13,13,0,0,0,103.0,46.0,57.0,0,4,1,Manchester City FC,BSC Young Boys,2023-11-07 21:00:00+00:00,3.0,0.0
1,0,0,3,0,0,1,0,5,1,3.0,2.0,0.0,2.0,0,0,1,13,13,0,0,0,88.0,45.0,43.0,0,4,1,Club Atlético de Madrid,Celtic FC,2023-11-07 21:00:00+00:00,6.0,0.0
0,1,0,1,0,0,1,0,4,6,1.0,1.0,2.0,3.0,0,1,0,13,13,0,0,0,54.0,50.0,4.0,0,4,1,SS Lazio,Feyenoord Rotterdam,2023-11-07 21:00:00+00:00,1.0,0.0
0,1,0,1,0,0,1,0,2,6,0.0,0.0,1.0,4.0,0,1,0,13,13,0,0,0,72.0,92.0,-20.0,0,4,1,AC Milan,Paris Saint-Germain FC,2023-11-07 21:00:00+00:00,2.0,1.0
0,1,0,1,0,0,1,0,7,0,1.0,1.0,0.0,1.0,1,0,0,14,14,0,0,0,50.0,71.0,-21.0,0,4,1,Real Sociedad de Fútbol,SL Benfica,2023-11-08 18:45:00+00:00,3.0,1.0
1,0,0,3,1,0,0,3,9,3,1.0,0.0,3.0,2.0,1,0,0,15,15,0,0,0,128.0,50.0,78.0,0,4,1,Real Madrid CF,Sporting Clube de Braga,2023-11-08 21:00:00+00:00,3.0,0.0
1,0,0,3,1,0,0,3,9,4,4.0,3.0,3.0,2.0,1,0,0,15,15,0,0,0,107.0,42.0,65.0,0,4,1,FC Bayern München,Galatasaray SK,2023-11-08 21:00:00+00:00,2.0,1.0
1,0,0,3,0,1,0,1,6,2,4.0,0.0,2.0,2.0,1,0,0,15,15,0,0,0,97.0,56.0,41.0,0,4,1,Arsenal FC,Sevilla FC,2023-11-08 21:00:00+00:00,2.0,0.0
